[2025-11-22 08:26:29] --- FDM v9.4 (Resonant Inertia) Starting ---
[2025-11-24 13:57:27] Model: (1, 1, 1) | Price: $85,974.33 | FC (T+10): +13.96 | AIC: 1525.9 | Risk: 1.0
[2025-11-24 14:27:27] Model: (1, 1, 1) | Price: $86,336.57 | FC (T+10): -12.74 | AIC: 1526.1 | Risk: 1.0
[2025-11-24 14:57:28] Model: (1, 1, 1) | Price: $86,247.83 | FC (T+10): -2.76 | AIC: 1525.9 | Risk: 1.0
[2025-11-24 15:27:28] Model: (1, 1, 1) | Price: $86,078.95 | FC (T+10): -228.59 | AIC: 1526.3 | Risk: 1.0
[2025-11-24 15:57:29] Model: (1, 1, 1) | Price: $85,878.03 | FC (T+10): -117.98 | AIC: 1526.4 | Risk: 1.0
[2025-11-24 16:27:29] Model: (1, 1, 1) | Price: $86,062.15 | FC (T+10): -149.85 | AIC: 1525.1 | Risk: 1.0
[2025-11-24 16:57:30] Model: (1, 1, 1) | Price: $86,546.39 | FC (T+10): -134.12 | AIC: 1525.2 | Risk: 1.0
[2025-11-24 17:27:30] Model: (1, 1, 1) | Price: $87,286.87 | FC (T+10): +50.87 | AIC: 1521.5 | Risk: 1.0
[2025-11-24 17:57:31] Model: (1, 1, 1) | Price: $87,208.97 | FC (T+10): +72.14 | AIC: 1521.3 | Risk: 1.0
[2025-11-24 18:27:31] Model: (1, 1, 1) | Price: $87,690.37 | FC (T+10): -107.47 | AIC: 1518.6 | Risk: 1.0
[2025-11-24 18:57:32] Model: (1, 1, 1) | Price: $88,277.28 | FC (T+10): -9.53 | AIC: 1522.6 | Risk: 1.0
[2025-11-24 19:27:32] Model: (1, 1, 1) | Price: $88,299.71 | FC (T+10): +97.65 | AIC: 1516.9 | Risk: 1.0
[2025-11-24 19:57:33] Model: (1, 1, 1) | Price: $88,641.54 | FC (T+10): +47.55 | AIC: 1517.4 | Risk: 1.0
[2025-11-24 20:27:34] Model: (1, 1, 1) | Price: $88,520.39 | FC (T+10): +13.83 | AIC: 1518.6 | Risk: 1.0
[2025-11-24 20:57:34] Model: (1, 1, 1) | Price: $88,265.03 | FC (T+10): +119.03 | AIC: 1518.8 | Risk: 1.0
[2025-11-24 21:27:35] Model: (1, 1, 1) | Price: $88,738.00 | FC (T+10): -44.94 | AIC: 1517.5 | Risk: 1.0
[2025-11-24 21:57:36] Model: (1, 1, 1) | Price: $89,073.23 | FC (T+10): -45.20 | AIC: 1518.7 | Risk: 1.0
[2025-11-24 22:27:37] Model: (1, 1, 1) | Price: $88,874.80 | FC (T+10): +49.58 | AIC: 1519.2 | Risk: 1.0
[2025-11-24 22:57:37] Model: (1, 1, 1) | Price: $88,751.01 | FC (T+10): +90.80 | AIC: 1519.2 | Risk: 1.0
[2025-11-24 23:27:38] Model: (1, 1, 1) | Price: $88,781.99 | FC (T+10): -115.48 | AIC: 1518.8 | Risk: 1.0
[2025-11-24 23:57:38] Model: (1, 1, 1) | Price: $88,755.97 | FC (T+10): -104.32 | AIC: 1518.8 | Risk: 1.0
[2025-11-25 00:27:38] Model: (1, 1, 1) | Price: $88,562.00 | FC (T+10): -94.96 | AIC: 1512.3 | Risk: 1.0
[2025-11-25 00:57:39] Model: (1, 1, 1) | Price: $88,304.25 | FC (T+10): -53.26 | AIC: 1512.7 | Risk: 1.0
[2025-11-25 01:27:39] Model: (1, 1, 1) | Price: $87,954.20 | FC (T+10): +23.56 | AIC: 1513.4 | Risk: 1.0
[2025-11-25 01:57:40] Model: (1, 1, 1) | Price: $88,087.20 | FC (T+10): +14.68 | AIC: 1513.1 | Risk: 1.0
[2025-11-25 02:27:40] Model: (1, 1, 1) | Price: $88,152.05 | FC (T+10): -188.85 | AIC: 1512.3 | Risk: 1.0
[2025-11-25 02:57:41] Model: (1, 1, 1) | Price: $87,775.40 | FC (T+10): -165.56 | AIC: 1513.5 | Risk: 1.0
[2025-11-25 03:27:41] Model: (1, 1, 1) | Price: $87,637.00 | FC (T+10): -115.84 | AIC: 1507.2 | Risk: 1.0
[2025-11-25 03:57:42] Model: (1, 1, 1) | Price: $87,851.93 | FC (T+10): -88.01 | AIC: 1507.1 | Risk: 1.0
[2025-11-25 04:27:42] Model: (1, 1, 1) | Price: $87,913.55 | FC (T+10): +36.21 | AIC: 1506.4 | Risk: 1.0
[2025-11-25 04:57:43] Model: (1, 1, 1) | Price: $87,760.02 | FC (T+10): +54.52 | AIC: 1506.4 | Risk: 1.0
[2025-11-25 05:27:43] Model: (1, 1, 1) | Price: $87,995.00 | FC (T+10): -25.05 | AIC: 1506.8 | Risk: 1.0
[2025-11-25 05:57:44] Model: (1, 1, 1) | Price: $88,364.65 | FC (T+10): -8.74 | AIC: 1507.9 | Risk: 1.0
[2025-11-25 06:27:44] Model: (1, 1, 1) | Price: $87,966.66 | FC (T+10): +94.02 | AIC: 1507.5 | Risk: 1.0
[2025-11-25 06:57:45] Model: (1, 1, 1) | Price: $88,096.16 | FC (T+10): +72.75 | AIC: 1507.3 | Risk: 1.0
[2025-11-25 07:27:45] Model: (1, 1, 1) | Price: $87,970.79 | FC (T+10): -24.75 | AIC: 1506.7 | Risk: 1.0
[2025-11-25 07:57:46] Model: (1, 1, 1) | Price: $88,027.82 | FC (T+10): -26.00 | AIC: 1506.6 | Risk: 1.0
[2025-11-25 08:27:46] Model: (1, 1, 1) | Price: $87,741.03 | FC (T+10): +18.65 | AIC: 1498.6 | Risk: 1.0
[2025-11-25 08:57:47] Model: (1, 1, 1) | Price: $87,376.67 | FC (T+10): +64.48 | AIC: 1499.6 | Risk: 1.0
[2025-11-25 09:27:47] Model: (1, 1, 1) | Price: $87,494.06 | FC (T+10): +4.41 | AIC: 1498.7 | Risk: 1.0
[2025-11-25 09:57:48] Model: (1, 1, 1) | Price: $87,025.01 | FC (T+10): +56.45 | AIC: 1499.4 | Risk: 1.0
[2025-11-25 10:27:48] Model: (1, 1, 1) | Price: $86,704.49 | FC (T+10): -109.79 | AIC: 1486.2 | Risk: 1.0
[2025-11-25 10:57:49] Model: (1, 1, 1) | Price: $87,214.08 | FC (T+10): -51.90 | AIC: 1485.5 | Risk: 1.0
[2025-11-25 11:27:49] Model: (1, 1, 1) | Price: $87,203.23 | FC (T+10): -19.64 | AIC: 1490.2 | Risk: 1.0
[2025-11-25 11:57:50] Model: (1, 1, 1) | Price: $87,407.18 | FC (T+10): -41.80 | AIC: 1490.4 | Risk: 1.0
[2025-11-25 12:27:50] Model: (1, 1, 1) | Price: $87,438.86 | FC (T+10): -92.11 | AIC: 1483.2 | Risk: 1.0
[2025-11-25 12:57:51] Model: (1, 1, 1) | Price: $87,386.63 | FC (T+10): -61.93 | AIC: 1483.2 | Risk: 1.0
[2025-11-25 13:27:51] Model: (1, 1, 1) | Price: $87,605.28 | FC (T+10): -75.00 | AIC: 1489.8 | Risk: 1.0
[2025-11-25 13:57:52] Model: (1, 1, 1) | Price: $87,511.56 | FC (T+10): -60.29 | AIC: 1489.7 | Risk: 1.0
[2025-11-25 14:27:52] Model: (1, 1, 1) | Price: $87,634.41 | FC (T+10): -151.55 | AIC: 1472.7 | Risk: 1.0
[2025-11-25 14:57:53] Model: (1, 1, 1) | Price: $87,029.02 | FC (T+10): +128.83 | AIC: 1473.2 | Risk: 1.0
[2025-11-25 15:27:53] Model: (1, 1, 1) | Price: $87,160.82 | FC (T+10): -45.53 | AIC: 1473.4 | Risk: 1.0
[2025-11-25 15:57:54] Model: (1, 1, 1) | Price: $86,619.15 | FC (T+10): +292.47 | AIC: 1473.4 | Risk: 1.2
[2025-11-25 16:27:55] Model: (1, 1, 1) | Price: $86,552.00 | FC (T+10): -111.20 | AIC: 1461.9 | Risk: 1.1
[2025-11-25 16:57:55] Model: (1, 1, 1) | Price: $86,956.03 | FC (T+10): -37.25 | AIC: 1460.4 | Risk: 1.1
[2025-11-25 17:27:56] Model: (1, 1, 1) | Price: $87,147.08 | FC (T+10): -212.00 | AIC: 1460.1 | Risk: 1.0
[2025-11-25 17:57:56] Model: (1, 1, 1) | Price: $87,127.87 | FC (T+10): -170.93 | AIC: 1460.1 | Risk: 1.0
[2025-11-25 18:27:57] Model: (1, 1, 1) | Price: $87,516.99 | FC (T+10): -68.51 | AIC: 1451.7 | Risk: 1.0
[2025-11-25 18:57:58] Model: (1, 1, 1) | Price: $87,779.63 | FC (T+10): -49.42 | AIC: 1454.0 | Risk: 1.0
[2025-11-25 19:27:59] Model: (1, 1, 1) | Price: $87,601.13 | FC (T+10): -14.09 | AIC: 1453.0 | Risk: 1.0
[2025-11-25 19:57:59] Model: (1, 1, 1) | Price: $87,335.08 | FC (T+10): +31.84 | AIC: 1453.4 | Risk: 1.0
[2025-11-25 20:28:00] Model: (1, 1, 1) | Price: $86,277.00 | FC (T+10): +102.36 | AIC: 1456.9 | Risk: 1.0
[2025-11-25 20:58:00] Model: (1, 1, 1) | Price: $86,822.22 | FC (T+10): +35.24 | AIC: 1452.7 | Risk: 1.0
[2025-11-25 21:28:01] Model: (1, 1, 1) | Price: $87,087.90 | FC (T+10): -70.01 | AIC: 1451.8 | Risk: 1.0
[2025-11-25 21:58:01] Model: (1, 1, 1) | Price: $87,397.97 | FC (T+10): -77.22 | AIC: 1452.8 | Risk: 1.0
[2025-11-25 22:28:02] Model: (1, 1, 1) | Price: $87,330.78 | FC (T+10): -24.73 | AIC: 1452.8 | Risk: 1.0
[2025-11-25 22:58:02] Model: (1, 1, 1) | Price: $87,015.93 | FC (T+10): +44.55 | AIC: 1453.3 | Risk: 1.0
[2025-11-25 23:28:03] Model: (1, 1, 1) | Price: $87,099.99 | FC (T+10): -62.32 | AIC: 1442.8 | Risk: 1.0
[2025-11-25 23:58:03] Model: (1, 1, 1) | Price: $87,449.99 | FC (T+10): -21.19 | AIC: 1443.7 | Risk: 1.0
[2025-11-26 00:28:04] Model: (1, 1, 1) | Price: $87,566.01 | FC (T+10): -12.60 | AIC: 1448.0 | Risk: 1.0
[2025-11-26 00:58:04] Model: (1, 1, 1) | Price: $87,388.49 | FC (T+10): +30.78 | AIC: 1448.1 | Risk: 1.0
[2025-11-26 01:28:05] Model: (1, 1, 1) | Price: $87,525.24 | FC (T+10): -51.92 | AIC: 1444.3 | Risk: 1.0
[2025-11-26 01:58:05] Model: (1, 1, 1) | Price: $87,514.86 | FC (T+10): -32.52 | AIC: 1444.3 | Risk: 1.0
[2025-11-26 02:28:06] Model: (1, 1, 1) | Price: $87,649.86 | FC (T+10): -38.53 | AIC: 1444.9 | Risk: 1.0
[2025-11-26 02:58:06] Model: (1, 1, 1) | Price: $87,902.49 | FC (T+10): -16.75 | AIC: 1445.9 | Risk: 1.0
[2025-11-26 03:28:07] Model: (1, 1, 1) | Price: $87,773.37 | FC (T+10): -23.64 | AIC: 1444.2 | Risk: 1.0
[2025-11-26 03:58:07] Model: (1, 1, 1) | Price: $87,733.99 | FC (T+10): -5.66 | AIC: 1444.2 | Risk: 1.0
[2025-11-26 04:28:08] Model: (1, 1, 1) | Price: $87,834.48 | FC (T+10): -51.38 | AIC: 1443.1 | Risk: 1.0
[2025-11-26 04:58:08] Model: (1, 1, 1) | Price: $87,096.73 | FC (T+10): +72.74 | AIC: 1445.2 | Risk: 1.0
[2025-11-26 05:28:09] Model: (1, 1, 1) | Price: $87,212.75 | FC (T+10): -30.12 | AIC: 1444.9 | Risk: 1.0
[2025-11-26 05:58:10] Model: (1, 1, 1) | Price: $87,232.86 | FC (T+10): -16.07 | AIC: 1444.9 | Risk: 1.0
[2025-11-26 06:28:10] Model: (1, 1, 1) | Price: $87,526.69 | FC (T+10): -80.01 | AIC: 1445.1 | Risk: 1.0
[2025-11-26 06:58:11] Model: (1, 1, 1) | Price: $87,593.46 | FC (T+10): -64.58 | AIC: 1445.5 | Risk: 1.0
[2025-11-26 07:28:11] Model: (1, 1, 1) | Price: $87,590.21 | FC (T+10): -20.73 | AIC: 1445.2 | Risk: 1.0
[2025-11-26 07:58:11] Model: (1, 1, 1) | Price: $87,862.96 | FC (T+10): -20.96 | AIC: 1446.2 | Risk: 1.0
